Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Romeo Langford,SG,22,BOS,37,5,17.8,1.9,4.4,0.7,2.0,1.2,2.4,0.5,0.8,0.8,1.9,2.7,0.5,0.6,0.4,0.4,1.1,5.0
Zach LaVine,SF,26,CHI,38,38,34.0,9.0,18.4,2.9,7.2,6.1,11.2,3.9,4.5,0.3,4.4,4.8,4.2,0.6,0.3,2.8,1.6,24.9
Jake Layman,SF,27,MIN,20,1,8.0,0.9,2.3,0.2,1.2,0.7,1.1,0.3,0.4,0.2,1.0,1.2,0.3,0.3,0.2,0.4,0.4,2.2
Damion Lee,SG,29,GSW,36,2,20.4,3.0,6.6,1.2,3.2,1.8,3.4,1.0,1.2,0.4,2.7,3.1,0.9,0.6,0.1,0.7,1.6,8.2
Saben Lee,PG,22,DET,26,0,15.4,1.8,4.7,0.5,1.7,1.3,3.0,1.3,1.7,0.4,2.2,2.5,2.4,1.0,0.4,1.0,0.9,5.3
Alex Len,C,28,SAC,30,9,17.4,2.6,5.0,0.2,0.6,2.4,4.4,1.1,1.7,1.6,3.2,4.8,1.2,0.3,0.8,1.3,2.9,6.6
Caris LeVert,SG,27,IND,32,32,30.6,7.0,15.7,1.6,5.0,5.4,10.7,2.8,3.4,0.7,2.9,3.6,4.1,1.0,0.5,1.8,2.3,18.4
Kira Lewis Jr.,PG,20,NOP,24,0,14.2,2.5,6.1,0.5,2.4,1.9,3.7,0.4,0.5,0.4,1.3,1.6,2.0,0.5,0.0,1.1,0.7,5.9
Scottie Lewis,SG,21,CHO,2,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
Damian Lillard,PG,31,POR,29,29,36.4,7.7,19.0,3.2,9.8,4.5,9.2,5.5,6.2,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
Nassir Little,SF,21,POR,41,22,25.8,3.4,7.4,1.1,3.6,2.2,3.8,1.6,2.2,1.3,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.5
Isaiah Livers,SF,23,DET,1,0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kevon Looney,C,25,GSW,47,47,20.7,2.6,4.7,0.0,0.0,2.6,4.6,1.0,1.6,2.7,4.6,7.2,1.6,0.6,0.8,0.9,2.6,6.2
Brook Lopez,C,33,MIL,1,1,28.0,3.0,9.0,2.0,4.0,1.0,5.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,3.0,0.0,3.0,8.0
Robin Lopez,C,33,ORL,22,9,18.6,3.8,6.5,0.0,0.2,3.8,6.4,0.9,1.5,2.3,1.5,3.8,1.9,0.0,0.5,1.3,2.0,8.5
Didi Louzada,SF,22,NOP,2,0,3.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Kevin Love,PF,33,CLE,39,2,21.4,4.3,9.8,2.4,6.0,1.9,3.8,2.9,3.3,1.1,6.0,7.1,2.1,0.3,0.2,1.2,0.9,13.8
Kyle Lowry,PG,35,MIA,39,39,34.2,4.5,10.8,2.1,6.4,2.4,4.5,2.4,2.8,0.6,3.8,4.5,8.3,1.0,0.4,3.1,2.8,13.4
Timothé Luwawu-Cabarrot,SF,26,ATL,31,12,13.9,1.5,3.8,0.9,2.6,0.5,1.2,0.5,0.6,0.3,1.2,1.5,0.8,0.4,0.1,0.4,1.5,4.5
Trey Lyles,PF,26,DET,43,3,19.4,3.3,7.4,0.8,2.9,2.5,4.5,2.6,3.3,1.3,3.6,4.8,1.2,0.4,0.5,1.0,1.7,10.0
Théo Maledon,PG,20,OKC,21,0,13.6,1.0,3.7,0.4,2.1,0.7,1.6,1.2,1.4,0.4,1.4,1.8,1.0,0.5,0.1,0.9,1.0,3.7
Sandro Mamukelashvili,PF,22,MIL,24,2,11.4,1.3,3.1,0.5,1.5,0.8,1.7,0.4,0.5,1.1,1.1,2.2,0.5,0.3,0.3,0.4,0.7,3.6
Terance Mann,SF,25,LAC,47,15,29.3,3.9,8.2,1.0,2.8,2.9,5.4,1.4,1.8,1.4,3.9,5.3,2.3,0.6,0.1,1.1,2.2,10.2
Tre Mann,PG,20,OKC,33,2,17.2,2.7,6.8,1.1,2.9,1.6,3.8,0.6,0.9,0.4,1.8,2.2,0.8,0.5,0.2,0.7,1.7,7.1
Boban Marjanović,C,33,DAL,16,0,5.9,2.2,3.5,0.1,0.2,2.1,3.3,0.5,1.0,0.4,1.4,1.9,0.1,0.0,0.1,0.7,1.2,4.9
Lauri Markkanen,PF,24,CLE,38,38,30.2,4.9,11.3,2.0,5.9,2.9,5.4,1.7,1.9,1.1,4.2,5.3,1.5,0.8,0.6,0.8,1.8,13.6
Naji Marshall,SF,24,NOP,23,0,9.6,1.0,3.0,0.2,1.2,0.8,1.8,1.1,1.3,0.6,1.8,2.4,0.9,0.4,0.1,0.9,1.0,3.3
Caleb Martin,SF,26,MIA,37,9,23.1,3.8,7.2,1.1,2.8,2.7,4.5,1.2,1.6,1.2,2.7,3.9,0.9,1.1,0.5,0.8,1.8,9.7
Cody Martin,SF,26,CHO,42,7,27.0,3.0,6.4,1.0,2.3,2.0,4.1,1.2,1.7,1.2,3.0,4.2,2.7,1.4,0.5,0.9,1.6,8.2
Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,0.8,2.7,1.8,3.5,0.3,0.5,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
Kenyon Martin Jr.,SF,21,HOU,44,0,19.1,3.2,6.2,0.6,1.8,2.6,4.4,1.0,1.6,1.0,2.8,3.8,1.4,0.4,0.5,0.7,1.3,8.0
Garrison Mathews,SG,25,HOU,30,16,27.6,3.3,7.9,2.5,6.6,0.8,1.3,2.4,2.9,0.5,3.1,3.6,0.9,0.7,0.4,0.6,3.0,11.5
Dakota Mathias,SG,26,MEM,6,0,2.7,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
Wesley Matthews,SG,35,MIL,21,6,20.6,2.3,5.1,1.4,3.6,0.9,1.5,0.2,0.4,0.6,1.5,2.1,0.8,0.5,0.2,0.4,1.8,6.3
Tyrese Maxey,PG,21,PHI,39,38,35.3,6.3,13.4,1.4,3.5,4.8,9.9,2.8,3.2,0.4,3.1,3.4,4.5,0.7,0.5,1.2,2.1,16.7
Skylar Mays,SG,24,ATL,18,5,10.3,1.7,3.3,0.4,1.4,1.3,1.9,0.4,0.4,0.3,1.1,1.3,0.8,0.4,0.0,0.3,0.3,4.3
Miles McBride,PG,21,NYK,18,2,8.1,0.8,3.0,0.3,1.6,0.6,1.4,0.2,0.2,0.1,0.8,0.9,1.2,0.4,0.1,0.2,0.8,2.1
Mac McClung,PG,23,CHI,1,0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
CJ McCollum,SG,30,POR,28,28,35.1,8.0,18.4,3.3,8.0,4.7,10.4,1.4,2.0,1.0,3.2,4.2,4.4,1.1,0.7,2.2,2.1,20.6
T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.3,1.0,3.5,6.5,0.5,0.6,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
Jaden McDaniels,PF,21,MIN,43,18,25.8,3.3,7.8,0.9,3.5,2.3,4.3,0.7,0.9,1.3,3.1,4.4,1.0,0.8,0.7,1.1,3.3,8.2
Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,0.8,2.2,1.7,2.8,0.8,1.2,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
Doug McDermott,PF,30,SAS,32,32,24.7,4.3,9.4,2.1,5.2,2.2,4.2,0.6,0.8,0.4,2.0,2.4,1.2,0.2,0.1,0.8,1.5,11.3
JaVale McGee,C,34,PHO,41,13,16.2,4.3,6.6,0.0,0.1,4.3,6.5,1.5,2.2,2.3,4.7,7.0,0.6,0.3,0.9,1.5,2.6,10.1
Cameron McGriff,SF,24,POR,3,0,15.3,1.7,4.7,0.7,2.0,1.0,2.7,0.7,0.7,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
Rodney McGruder,SG,30,DET,21,0,12.5,1.8,3.7,0.9,2.1,0.9,1.6,0.2,0.3,0.6,1.4,2.0,0.7,0.3,0.1,0.6,0.9,4.6
Alfonzo McKinnie,SF,29,CHI,13,3,14.5,1.8,4.4,0.7,2.0,1.1,2.4,0.1,0.5,1.0,1.0,2.0,0.4,0.2,0.2,0.5,1.6,4.3
JaQuori McLaughlin,PG,24,DAL,4,0,2.8,0.0,0.5,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
Jordan McLaughlin,PG,25,MIN,29,2,10.9,0.7,2.6,0.1,1.0,0.6,1.6,0.5,0.8,0.2,0.8,1.0,2.3,0.6,0.0,0.7,0.4,2.1
Ben McLemore,SG,28,POR,29,4,17.2,3.0,7.1,2.3,5.7,0.7,1.4,0.7,0.8,0.2,1.1,1.3,0.8,0.4,0.1,0.7,1.5,9.1
De'Anthony Melton,SG,23,MEM,40,13,22.9,3.5,9.2,1.5,4.7,2.0,4.5,1.2,1.7,1.0,3.4,4.4,2.8,1.6,0.6,1.5,1.9,9.7
Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4.0,1.2,3.8,0.2,0.2,0.3,0.7,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
Chimezie Metu,C,24,SAC,32,19,22.2,3.4,8.2,1.0,3.7,2.4,4.5,1.0,1.3,0.7,5.4,6.0,1.1,0.9,0.6,0.9,1.5,8.9
Khris Middleton,SF,30,MIL,37,37,31.9,6.7,15.2,2.4,6.2,4.3,8.9,4.2,4.8,0.6,5.1,5.7,5.3,1.1,0.3,3.2,2.4,20.1
C.J. Miles,SG,34,BOS,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Patty Mills,PG,33,BRK,45,28,31.0,4.8,10.9,3.2,7.6,1.6,3.3,0.7,0.8,0.2,1.9,2.2,2.5,0.6,0.3,1.0,1.4,13.5
Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,0.3,1.1,1.1,2.4,0.5,0.7,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
Shake Milton,PG,25,PHI,27,6,24.7,4.0,9.4,0.9,2.9,3.1,6.5,1.5,1.8,0.5,2.5,3.0,2.8,0.7,0.4,1.1,2.1,10.5
Davion Mitchell,PG,23,SAC,42,1,24.5,3.7,9.5,1.1,3.7,2.6,5.7,0.5,0.9,0.5,1.7,2.3,3.2,0.7,0.3,1.0,1.8,9.1
Donovan Mitchell,SG,25,UTA,40,40,33.5,9.3,20.7,3.2,9.5,6.1,11.2,3.7,4.2,0.8,3.1,4.0,5.2,1.6,0.2,3.0,2.5,25.5
Evan Mobley,PF,20,CLE,39,39,34.3,6.2,12.1,0.4,1.4,5.7,10.7,2.2,3.2,1.7,6.3,8.1,2.6,0.8,1.7,1.9,2.1,15.0
Malik Monk,SG,23,LAL,42,11,26.1,4.4,9.2,2.1,5.1,2.3,4.1,1.0,1.2,0.5,2.5,3.0,2.3,0.7,0.5,1.3,1.5,11.9
Greg Monroe,C,31,TOT,5,0,16.2,2.6,4.4,0.0,0.0,2.6,4.4,0.4,1.0,2.4,3.8,6.2,2.4,0.6,1.0,1.2,1.8,5.6
Greg Monroe,C,31,MIN,3,0,21.0,3.0,4.7,0.0,0.0,3.0,4.7,0.7,1.7,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
Greg Monroe,C,31,WAS,2,0,9.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
Moses Moody,SG,19,GSW,26,1,7.0,0.8,2.3,0.2,1.3,0.6,1.0,0.5,0.6,0.2,0.9,1.0,0.3,0.1,0.2,0.2,0.5,2.2
Xavier Moon,SG,27,LAC,6,0,13.8,2.3,5.7,0.5,1.7,1.8,4.0,0.3,0.5,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
Matt Mooney,SG,24,NYK,1,0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Ja Morant,PG,22,MEM,36,36,32.9,9.4,19.4,1.5,4.4,7.9,15.0,4.9,6.4,1.5,4.5,6.0,6.9,1.3,0.4,3.4,1.4,25.3
Juwan Morgan,PF,24,TOR,1,0,27.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
Jaylen Morris,SG,26,SAS,3,0,5.3,0.0,2.0,0.0,0.7,0.0,1.3,0.7,1.3,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
Marcus Morris,PF,32,LAC,26,26,30.3,5.5,13.2,2.0,5.4,3.5,7.8,2.6,3.0,0.6,4.6,5.2,2.2,0.5,0.3,1.3,2.3,15.5
Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7.0,0.8,2.2,2.4,4.8,0.5,0.5,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
Monte Morris,PG,26,DEN,42,41,30.0,5.1,10.9,1.6,4.4,3.5,6.5,0.7,0.9,0.3,2.5,2.8,4.1,0.7,0.1,1.2,1.3,12.6
Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0.0,1.0,0.0,0.0,0.0,1.0,1.5,2.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
Mychal Mulder,PG,27,ORL,15,2,13.0,1.3,4.5,0.9,3.1,0.5,1.4,0.1,0.1,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
Ade Murkey,SG,24,SAC,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,SF,21,NOP,36,0,12.8,1.2,3.7,0.9,2.7,0.3,1.0,0.4,0.5,0.7,1.4,2.1,0.6,0.3,0.1,0.3,0.9,3.8
Dejounte Murray,PG,25,SAS,42,42,34.4,8.0,17.8,1.4,4.2,6.6,13.6,1.9,2.6,1.3,7.1,8.5,9.0,2.0,0.4,2.4,2.0,19.3
Mike Muscala,C,30,OKC,38,0,13.5,2.6,5.6,1.6,3.7,1.0,1.9,1.2,1.3,0.4,2.5,2.9,0.5,0.4,0.6,0.3,1.3,8.0
Svi Mykhailiuk,SF,24,TOR,38,5,16.9,2.2,5.3,0.9,2.9,1.2,2.4,0.7,0.8,0.5,1.8,2.3,1.1,0.6,0.1,0.7,1.2,5.9
Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.3,1.0,0.6,1.5,0.4,0.7,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
Larry Nance Jr.,PF,29,POR,37,11,23.2,2.8,5.4,0.5,1.7,2.2,3.7,0.9,1.3,1.6,4.1,5.6,2.0,1.0,0.4,0.7,1.8,6.9
RJ Nembhard Jr.,SG,22,CLE,6,0,7.0,0.8,1.8,0.0,0.2,0.8,1.7,0.2,0.3,0.0,0.3,0.3,1.7,0.0,0.0,0.2,0.3,1.8
Aaron Nesmith,SF,22,BOS,32,1,10.5,1.2,3.3,0.5,2.1,0.7,1.1,0.3,0.4,0.3,1.5,1.8,0.3,0.3,0.1,0.6,1.3,3.2
Raul Neto,PG,29,WAS,40,0,19.8,2.9,6.6,0.4,1.7,2.6,4.9,1.1,1.5,0.2,1.9,2.0,2.6,0.7,0.0,1.3,1.5,7.3
Malik Newman,PG,24,CLE,1,0,8.0,3.0,5.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
Georges Niang,PF,28,PHI,42,5,23.1,3.4,7.9,1.9,5.0,1.5,2.9,0.9,1.0,0.4,2.4,2.7,1.4,0.5,0.2,0.7,2.6,9.5
Daishen Nix,SG,19,HOU,8,0,8.4,1.6,2.5,0.4,0.9,1.3,1.6,0.1,0.4,0.1,1.1,1.3,1.3,0.9,0.0,1.1,0.4,3.8
Zeke Nnaji,PF,21,DEN,29,0,15.0,2.2,4.3,0.9,1.9,1.2,2.4,1.0,1.6,1.2,2.2,3.3,0.3,0.2,0.3,0.3,1.8,6.3
Nerlens Noel,C,27,NYK,19,10,23.2,1.5,2.7,0.0,0.2,1.5,2.6,0.8,0.9,2.2,3.7,5.9,0.7,1.2,1.5,0.8,2.6,3.7
Jaylen Nowell,SG,22,MIN,31,0,14.5,3.2,6.6,0.9,2.3,2.4,4.3,1.0,1.4,0.3,1.8,2.1,2.1,0.5,0.2,0.5,1.1,8.4
Frank Ntilikina,PG,23,DAL,36,5,12.8,1.5,4.1,0.8,2.1,0.8,2.0,0.5,0.5,0.2,1.2,1.4,1.3,0.6,0.1,0.6,1.1,4.3
Jusuf Nurkić,C,27,POR,43,43,27.2,5.4,10.1,0.2,1.0,5.2,9.0,3.2,4.6,2.7,8.1,10.8,2.7,1.2,0.6,2.5,3.4,14.3
David Nwaba,SF,29,HOU,33,4,14.2,2.0,4.3,0.3,1.1,1.7,3.2,1.0,1.4,0.9,3.0,3.9,0.8,0.7,0.5,0.5,1.2,5.4
Jordan Nwora,SF,23,MIL,37,9,20.3,3.3,8.1,1.5,4.1,1.8,3.9,0.4,0.5,0.7,3.4,4.1,1.0,0.5,0.4,1.0,1.2,8.6
Royce O'Neale,SF,28,UTA,44,44,31.6,2.6,5.4,1.4,3.6,1.1,1.8,0.7,0.9,0.9,4.3,5.2,2.5,1.3,0.5,0.9,2.5,7.2
Semi Ojeleye,PF,27,MIL,17,0,17.1,0.9,3.9,0.5,2.3,0.4,1.6,0.5,0.6,1.5,1.9,3.4,0.3,0.3,0.3,0.3,1.5,2.8
Chuma Okeke,PF,23,ORL,37,10,23.7,2.8,7.7,1.3,4.5,1.5,3.2,0.8,0.9,0.6,3.9,4.6,1.4,1.4,0.5,0.8,1.4,7.7
Josh Okogie,SG,23,MIN,30,6,12.8,0.8,2.4,0.3,1.1,0.5,1.3,0.8,1.2,0.8,1.2,2.0,0.6,0.6,0.3,0.5,1.3,2.7
Onyeka Okongwu,C,21,ATL,14,6,24.1,3.7,5.0,0.0,0.0,3.7,5.0,1.8,2.6,2.4,3.8,6.2,1.1,0.6,1.8,1.3,3.4,9.2
Isaac Okoro,SF,21,CLE,32,26,28.3,3.2,7.1,0.8,2.8,2.4,4.3,1.8,2.4,1.1,2.2,3.3,1.8,0.8,0.3,1.2,2.6,9.0
KZ Okpala,PF,22,MIA,21,0,11.6,1.4,3.3,0.4,1.2,1.0,2.0,0.4,0.5,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7
Cameron Oliver,SF,25,ATL,2,0,21.5,5.0,7.5,0.5,1.5,4.5,6.0,1.0,1.5,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
Kelly Olynyk,C,30,DET,12,1,22.6,4.5,10.1,1.3,4.3,3.2,5.8,2.3,3.6,1.4,4.1,5.5,2.8,1.3,0.7,1.5,2.8,12.6
Eugene Omoruyi,SF,24,DAL,4,0,4.5,0.5,1.3,0.3,0.5,0.3,0.8,0.5,1.0,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.1,0.5,0.1,0.1,0.0,0.1,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
Cedi Osman,SF,26,CLE,35,0,22.6,3.8,8.7,2.0,5.6,1.8,3.2,1.2,1.8,0.4,2.1,2.5,1.7,1.0,0.2,0.9,1.9,10.7
Daniel Oturu,C,22,TOR,3,0,9.0,1.0,2.0,0.0,0.3,1.0,1.7,1.0,1.7,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
Kelly Oubre Jr.,SF,26,CHO,43,10,27.8,6.0,13.3,2.8,7.7,3.2,5.5,1.5,2.3,1.0,2.9,4.0,1.1,1.1,0.3,1.0,2.4,16.3
Jaysean Paige,PG,27,DET,1,0,7.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Trayvon Palmer,SG,27,DET,1,0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
Kevin Pangos,PG,29,CLE,20,3,8.1,0.8,2.3,0.3,1.3,0.5,1.0,0.2,0.2,0.1,0.5,0.6,1.5,0.2,0.0,0.4,0.5,2.0
Jabari Parker,PF,26,BOS,12,0,9.3,1.5,3.2,0.7,1.3,0.8,1.8,0.8,0.8,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
Eric Paschall,PF,25,UTA,33,1,11.8,1.7,3.5,0.6,1.7,1.1,1.8,0.9,1.3,0.6,1.3,1.9,0.5,0.1,0.1,0.5,0.9,4.9
Chris Paul,PG,36,PHO,45,45,32.4,5.4,11.1,0.9,3.0,4.4,8.2,2.4,2.9,0.3,4.0,4.3,10.1,2.0,0.3,2.3,2.1,14.1
Cameron Payne,PG,27,PHO,40,0,20.4,4.0,9.8,1.1,3.4,2.8,6.4,1.4,1.7,0.4,2.4,2.8,3.6,0.6,0.3,1.8,1.9,10.5
Elfrid Payton,PG,27,PHO,25,0,10.9,1.4,3.6,0.0,0.2,1.4,3.4,0.3,0.6,0.4,1.5,1.9,1.7,0.5,0.1,1.0,1.0,3.2
Gary Payton II,PG,29,GSW,44,9,16.8,3.2,5.1,0.7,1.8,2.6,3.4,0.5,1.0,1.1,2.6,3.7,0.8,1.3,0.3,0.5,1.7,7.7
Norvel Pelle,C,28,UTA,3,0,6.3,1.0,1.7,0.0,0.0,1.0,1.7,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0
Reggie Perry,PF,21,POR,2,0,20.5,2.0,4.5,0.5,1.0,1.5,3.5,1.0,1.0,1.0,2.5,3.5,1.0,0.5,0.0,0.5,3.0,5.5
Jamorko Pickett,PF,24,DET,6,0,7.8,0.2,1.7,0.2,1.2,0.0,0.5,0.0,0.0,0.3,1.2,1.5,0.2,0.0,0.2,0.5,0.5,0.5
Theo Pinson,SF,26,DAL,12,0,8.0,0.7,2.3,0.4,1.7,0.3,0.6,0.3,0.3,0.0,1.3,1.3,1.0,0.3,0.2,0.2,0.8,2.1
Mason Plumlee,C,31,CHO,38,38,24.6,2.9,4.6,0.0,0.0,2.9,4.6,0.7,2.1,2.3,4.9,7.1,2.7,0.8,0.8,1.2,3.0,6.6
Jakob Poeltl,C,26,SAS,39,38,29.1,5.8,9.7,0.0,0.0,5.8,9.7,1.2,2.7,4.1,5.0,9.1,2.7,0.7,1.6,1.6,3.0,12.8
Aleksej Pokusevski,PF,20,OKC,36,2,15.1,1.9,5.4,0.6,2.4,1.4,2.9,0.2,0.4,0.9,3.1,4.0,1.1,0.5,0.5,1.2,1.2,4.6
Yves Pons,SF,22,MEM,6,0,3.5,0.2,0.5,0.2,0.2,0.0,0.3,0.0,0.3,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.3,0.5
Jordan Poole,SG,22,GSW,41,33,29.4,5.7,13.1,2.5,7.3,3.3,5.9,2.8,3.1,0.3,2.7,3.0,3.3,0.8,0.3,2.4,2.8,16.7
Kevin Porter Jr.,PG,21,HOU,31,31,30.2,4.5,11.9,2.0,5.8,2.5,6.1,2.1,3.4,0.7,3.5,4.2,5.9,1.3,0.3,3.6,2.6,13.1
Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,1.1,5.3,3.0,6.1,0.6,1.0,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
Otto Porter Jr.,PF,28,GSW,40,8,21.7,3.2,6.7,1.6,3.9,1.6,2.8,0.5,0.7,1.0,4.4,5.3,1.7,1.1,0.5,0.6,1.3,8.4
Bobby Portis,C,26,MIL,40,35,28.7,5.8,12.3,1.9,4.5,3.9,7.7,1.5,2.0,2.9,6.6,9.5,1.3,0.7,0.9,1.6,2.8,15.0
Kristaps Porziņģis,PF,26,DAL,31,31,30.3,6.9,15.2,1.5,5.2,5.4,9.9,4.5,5.2,2.0,6.0,8.0,2.2,0.7,1.8,1.5,2.5,19.9
Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,0.0,0.7,1.7,3.0,0.7,0.7,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
Dwight Powell,C,30,DAL,47,39,20.2,2.6,4.2,0.3,0.6,2.4,3.6,1.5,2.1,2.0,2.5,4.5,1.1,0.4,0.3,0.7,2.4,7.1
Myles Powell,PG,24,PHI,9,0,5.1,0.6,1.8,0.1,0.6,0.4,1.2,0.2,0.2,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.7,1.4
Norman Powell,SF,28,POR,34,34,32.9,6.2,13.6,2.2,5.5,4.0,8.1,4.0,4.9,0.4,2.5,2.9,2.1,1.0,0.4,1.5,2.3,18.6
Joshua Primo,SG,19,SAS,20,4,13.5,1.5,3.9,0.7,2.1,0.8,1.8,0.5,0.6,0.4,1.2,1.6,1.3,0.4,0.5,0.9,0.9,4.1
Taurean Prince,PF,27,MIN,35,8,14.6,1.7,4.1,0.9,2.6,0.8,1.5,0.6,0.7,0.4,1.6,2.0,0.8,0.4,0.2,0.6,1.3,4.8
Payton Pritchard,SG,24,BOS,38,2,13.3,1.8,4.8,1.1,3.1,0.6,1.7,0.2,0.2,0.3,1.4,1.8,1.7,0.2,0.1,0.7,0.9,4.9
Trevelin Queen,SG,24,HOU,8,0,8.6,1.6,3.6,1.0,2.8,0.6,0.9,0.4,0.4,0.6,1.1,1.8,0.4,0.6,0.0,0.9,0.8,4.6
Neemias Queta,C,22,SAC,6,0,6.7,0.8,2.5,0.0,0.0,0.8,2.5,0.5,0.7,1.0,1.2,2.2,0.5,0.2,0.2,0.3,1.2,2.2
Immanuel Quickley,PG,22,NYK,43,2,22.3,3.4,8.8,1.8,5.1,1.6,3.7,1.7,1.9,0.4,2.1,2.4,2.8,0.7,0.1,1.3,2.2,10.3
Jahmi'us Ramsey,SG,20,SAC,15,0,5.5,0.9,2.3,0.1,0.7,0.8,1.5,0.3,0.7,0.1,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2.3
Julius Randle,PF,27,NYK,45,45,35.5,6.8,16.4,1.7,5.5,5.1,11.0,3.6,4.7,1.8,8.2,10.0,5.1,0.7,0.6,3.4,2.8,18.9
Austin Reaves,SG,23,LAL,28,0,20.7,2.0,4.1,0.8,2.3,1.2,1.8,1.1,1.3,0.4,2.0,2.5,1.0,0.3,0.1,0.6,1.5,5.9
Cam Reddish,SF,22,TOT,35,7,22.9,4.0,9.9,1.7,4.4,2.3,5.5,2.1,2.3,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.7
Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,1.7,4.5,2.4,5.6,2.1,2.4,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9
